User_ID,Group,REVENUE
1,A,0.0
2,B,0.0
3,A,0.0
4,A,0.0
5,A,0.0
6,B,0.0
7,A,0.0
8,A,0.0
9,A,0.0
10,B,0.0
11,A,0.0
12,A,0.0
13,A,0.0
14,A,0.0
15,B,0.0
16,A,0.0
17,B,0.0
18,B,0.0
19,B,0.0
20,A,0.0
21,B,0.0
22,A,0.0
23,B,0.0
24,B,0.0
25,B,0.0
26,B,0.0
27,B,0.0
28,B,0.0
29,B,0.0
30,B,0.0
31,A,0.0
32,A,0.0
33,B,0.0
34,B,0.0
35,B,0.0
36,A,0.0
37,B,0.0
38,A,0.0
39,A,0.0
40,A,0.0
41,A,0.0
42,A,0.0
43,B,0.0
44,B,0.0
45,B,0.0
46,B,0.0
47,B,0.0
48,A,0.0
49,B,0.0
50,B,0.0
51,A,0.0
52,B,0.0
53,A,0.0
54,B,0.0
55,A,0.0
56,B,0.0
57,B,0.0
58,A,0.0
59,A,0.0
60,A,0.0
61,A,0.0
62,A,0.0
63,A,0.0
64,A,0.0
65,A,0.0
66,B,0.0
67,B,0.0
68,A,0.0
69,B,0.0
70,B,0.0
71,B,0.0
72,B,0.0
73,A,0.0
74,B,0.0
75,A,0.0
76,B,0.0
77,B,0.0
78,B,0.0
79,A,0.0
80,B,0.0
81,A,0.0
82,B,0.0
83,A,0.0
84,B,0.0
85,A,0.0
86,A,0.0
87,B,0.0
88,A,0.0
89,B,0.0
90,B,0.0
91,B,0.0
92,B,0.0
93,B,0.0
94,B,0.0
95,B,0.0
96,B,0.0
97,B,0.0
98,B,0.0
99,B,0.0
100,A,0.0
101,A,0.0
102,B,0.0
103,B,0.0
104,B,0.0
105,B,0.0
106,B,0.0
107,B,0.0
108,B,0.0
109,B,0.0
110,A,0.0
111,B,0.0
112,A,0.0
113,B,0.0
114,B,0.0
115,A,0.0
116,B,0.0
117,A,0.0
118,B,0.0
119,B,0.0
120,A,0.0
121,B,0.0
122,A,0.0
123,B,0.0
124,A,0.0
125,A,0.0
126,B,0.0
127,B,0.0
128,A,0.0
129,B,0.0
130,B,0.0
131,B,0.0
132,A,0.0
133,A,0.0
134,A,0.0
135,A,0.0
136,A,0.0
137,A,0.0
138,A,0.0
139,A,0.0
140,A,0.0
141,B,0.0
142,A,0.0
143,B,0.0
144,B,0.0
145,B,0.0
146,A,0.0
147,A,0.0
148,A,0.0
149,A,0.0
150,B,0.0
151,A,0.0
152,A,0.0
153,A,0.0
154,A,0.0
155,A,0.0
156,B,0.0
157,A,0.0
158,B,0.0
159,A,0.0
160,B,0.0
161,A,0.0
162,A,0.0
163,B,0.0
164,B,0.0
165,B,0.0
166,A,0.0
167,B,0.0
168,A,0.0
169,A,0.0
170,B,0.0
171,B,0.0
172,A,0.0
173,A,0.0
174,B,0.0
175,B,0.0
176,B,0.0
177,A,0.0
178,A,0.0
179,A,0.0
180,A,0.0
181,A,0.0
182,A,0.0
183,B,0.0
184,A,0.0
185,A,0.0
186,A,0.0
187,B,0.0
188,A,0.0
189,A,0.0
190,B,0.0
191,A,0.0
192,A,0.0
193,A,0.0
194,A,0.0
195,A,0.0
196,B,0.0
197,B,0.0
198,B,0.0
199,A,0.0
200,A,0.0
201,A,0.0
202,B,0.0
203,A,0.0
204,A,0.0
205,B,0.0
206,A,0.0
207,B,0.0
208,B,0.0
209,B,0.0
210,A,0.0
211,A,0.0
212,A,0.0
213,A,0.0
214,A,0.0
215,A,0.0
216,A,0.0
217,B,0.0
218,A,0.0
219,B,0.0
220,A,0.0
221,A,0.0
222,A,0.0
223,B,0.0
224,B,0.0
225,B,0.0
226,B,0.0
227,A,0.0
228,B,0.0
229,A,0.0
230,A,0.0
231,B,0.0
232,B,0.0
233,B,0.0
234,B,0.0
235,B,0.0
236,B,0.0
237,B,0.0
238,B,0.0
239,A,0.0
240,B,0.0
241,B,0.0
242,A,0.0
243,B,0.0
244,A,0.0
245,A,0.0
246,B,0.0
247,A,0.0
248,A,0.0
249,A,0.0
250,A,0.0
251,B,0.0
252,A,0.0
253,B,0.0
254,A,0.0
255,A,0.0
256,A,0.0
257,A,0.0
258,B,0.0
259,B,0.0
260,A,0.0
261,A,0.0
262,B,0.0
263,A,0.0
264,A,0.0
265,A,0.0
266,B,0.0
267,B,0.0
